blinding lights,the weeknd,21min  
bohemian rhapsody,queen,29min  
shape of you,ed sheeran,24min  
rolling in the deep,adele,26min  
lose yourself,eminem,23min  
bad guy,billie eilish,20min  
sultans of swing,dire straits,30min  
despacito,luis fonsi,24min  
levitating,dua lipa,22min  
peaches,justin bieber,21min  
am i wrong,nico & vinz,23min  
senhorita,shawn mendes,22min  
smells like teen spirit,nirvana,27min  
hotel california,eagles,30min  
savage love,jason derulo,20min  
creep,radiohead,25min  
old town road,lil nas x,19min  
as it was,harry styles,22min  
abcdefu,gayle,21min  
perfect,ed sheeran,24min  
drivers license,olivia rodrigo,25min  
watermelon sugar,harry styles,23min  
sugar,maroon 5,22min  
montero,lil nas x,21min  
easy on me,adele,25min  
sorry,justin bieber,22min  
mockingbird,eminem,24min  
paradise,coldplay,26min  
dance monkey,tones and i,23min  
industry baby,lil nas x,24min  
